underlying_price,strike,maturity,volatility,option_type,market_price,bid,ask,volume,open_interest,expiration,moneyness,bs_price,risk_free_rate
272.14,250.0,0.01643835616438356,0.3711000390625,put,0.375,0.37,0.38,288.0,255,2026-03-04,0.9186448151686633,0.1767322480914313,0.05
272.14,252.5,0.01643835616438356,0.36426416992187505,put,0.485,0.44,0.53,32.0,30,2026-03-04,0.9278312633203498,0.27028611768083977,0.05
272.14,255.0,0.01643835616438356,0.34668622070312494,put,0.625,0.59,0.66,192.0,668,2026-03-04,0.9370177114720365,0.357262589030789,0.05
272.14,257.5,0.01643835616438356,0.33081723876953123,put,0.79,0.74,0.84,62.0,52,2026-03-04,0.9462041596237232,0.48631732272154693,0.05
272.14,260.0,0.01643835616438356,0.31641308593749995,put,1.04,0.99,1.09,449.0,361,2026-03-04,0.9553906077754097,0.6763523905225028,0.05
272.14,262.5,0.01643835616438356,0.3020089331054688,put,1.37,1.32,1.42,50.0,39,2026-03-04,0.9645770559270964,0.9423686743988426,0.05
272.14,265.0,0.01643835616438356,0.288947540283203,put,1.815,1.76,1.87,1267.0,114,2026-03-04,0.973763504078783,1.3273175136888042,0.05
272.14,267.5,0.01643835616438356,0.2766185620117187,put,2.415,2.36,2.47,1031.0,74,2026-03-04,0.9829499522304697,1.8681016212988197,0.05
272.14,270.0,0.01643835616438356,0.2708813146972656,put,3.225,3.1,3.35,915.0,52,2026-03-04,0.9921364003821563,2.690743930974989,0.05
272.14,275.0,0.01643835616438356,0.26099371826171874,put,5.625,5.45,5.8,245.0,29,2026-03-04,1.0105092966855296,5.117603711030995,0.05
272.14,200.0,0.021917808219178082,0.9956055126953125,call,72.6,71.3,73.9,49.0,32,2026-03-06,0.7349158521349306,72.58270437242172,0.05
272.14,210.0,0.021917808219178082,0.875977802734375,call,62.650000000000006,61.35,63.95,6.0,35,2026-03-06,0.7716616447416771,62.62764065519096,0.05
272.14,215.0,0.021917808219178082,0.8085956640624999,call,57.650000000000006,56.35,58.95,12.0,12,2026-03-06,0.7900345410450503,57.63578353026233,0.05
272.14,230.0,0.021917808219178082,0.6657748266601564,call,42.2,41.5,42.9,21.0,52,2026-03-06,0.8451532299551702,42.822875013041966,0.05
272.14,240.0,0.021917808219178082,0.6398961791992188,call,32.7,31.7,33.7,18.0,98,2026-03-06,0.8818990225619167,33.41724195197344,0.05
272.14,245.0,0.021917808219178082,0.629886513671875,call,28.05,26.75,29.35,60.0,130,2026-03-06,0.90027191886529,28.93721880977222,0.05
272.14,250.0,0.021917808219178082,0.5095263891601562,call,22.975,22.0,23.95,204.0,703,2026-03-06,0.9186448151686633,23.660716647459395,0.05
272.14,255.0,0.021917808219178082,0.418951123046875,call,18.35,17.85,18.85,52.0,943,2026-03-06,0.9370177114720365,18.615728926776114,0.05
272.14,257.5,0.021917808219178082,0.4105283557128906,call,15.95,15.15,16.75,24.0,388,2026-03-06,0.9462041596237232,16.455732532032272,0.05
272.14,260.0,0.021917808219178082,0.3552310571289062,call,13.825,13.55,14.1,191.0,2383,2026-03-06,0.9553906077754097,13.858294952026881,0.05
272.14,262.5,0.021917808219178082,0.3321599987792969,call,11.600000000000001,11.3,11.9,262.0,512,2026-03-06,0.9645770559270964,11.633354927836194,0.05
272.14,265.0,0.021917808219178082,0.3266668896484375,call,9.9,9.75,10.05,708.0,2260,2026-03-06,0.973763504078783,9.719203960498788,0.05
272.14,267.5,0.021917808219178082,0.30408410766601557,call,7.95,7.85,8.05,337.0,789,2026-03-06,0.9829499522304697,7.703699371443861,0.05
272.14,270.0,0.021917808219178082,0.29395237304687494,call,6.300000000000001,6.2,6.4,2952.0,4930,2026-03-06,0.9921364003821563,6.021084400951338,0.05
272.14,272.5,0.021917808219178082,0.2823558093261719,call,4.825,4.75,4.9,2175.0,1009,2026-03-06,1.001322848533843,4.507829668831192,0.05
272.14,275.0,0.021917808219178082,0.2711254528808594,call,3.55,3.5,3.6,4918.0,7942,2026-03-06,1.0105092966855296,3.2170782193013565,0.05
272.14,277.5,0.021917808219178082,0.26758544921875,call,2.585,2.53,2.64,1561.0,575,2026-03-06,1.0196957448372161,2.272882754928375,0.05
272.14,280.0,0.021917808219178082,0.2572095764160156,call,1.75,1.73,1.77,5260.0,9057,2026-03-06,1.028882192988903,1.4532955578956148,0.05
272.14,282.5,0.021917808219178082,0.25843026733398444,call,1.19,1.13,1.25,1408.0,672,2026-03-06,1.0380686411405895,0.9744436217610257,0.05
272.14,285.0,0.021917808219178082,0.24927508544921873,call,0.745,0.73,0.76,3620.0,6894,2026-03-06,1.047255089292276,0.5513306081270422,0.05
272.14,287.5,0.021917808219178082,0.25659923095703124,call,0.5,0.45,0.55,1041.0,252,2026-03-06,1.0564415374439626,0.37545013168651664,0.05
272.14,290.0,0.021917808219178082,0.2475661181640625,call,0.28500000000000003,0.27,0.3,1123.0,5422,2026-03-06,1.0656279855956494,0.18616473887921536,0.05
272.14,295.0,0.021917808219178082,0.2485426708984375,call,0.10500000000000001,0.1,0.11,913.0,3358,2026-03-06,1.0840008818990226,0.05665106264664388,0.05
272.14,300.0,0.021917808219178082,0.25977302734375,call,0.045,0.04,0.05,1443.0,5596,2026-03-06,1.102373778202396,0.02161429457549735,0.05
272.14,220.0,0.021917808219178082,0.5410202148437502,put,0.065,0.05,0.08,158.0,737,2026-03-06,0.8084074373484237,0.02294787796358977,0.05
272.14,225.0,0.021917808219178082,0.5039112109375,put,0.08,0.07,0.09,48.0,758,2026-03-06,0.8267803336517969,0.0302144167657048,0.05
272.14,227.5,0.021917808219178082,0.499028447265625,put,0.095,0.08,0.11,28.0,96,2026-03-06,0.8359667818034835,0.044257966565937945,0.05
272.14,230.0,0.021917808219178082,0.48438015625,put,0.12,0.11,0.13,17.0,519,2026-03-06,0.8451532299551702,0.054745006349537384,0.05
272.14,235.0,0.021917808219178082,0.4643608251953125,put,0.185,0.16,0.21,57.0,1307,2026-03-06,0.8635261262585434,0.09766524737697102,0.05
272.14,240.0,0.021917808219178082,0.42627526855468756,put,0.255,0.24,0.27,118.0,1225,2026-03-06,0.8818990225619167,0.13361443571405385,0.05
272.14,245.0,0.021917808219178082,0.39600213378906257,put,0.36,0.33,0.39,386.0,3480,2026-03-06,0.90027191886529,0.21018178340175986,0.05
272.14,247.5,0.021917808219178082,0.3803772900390625,put,0.39,0.31,0.47,64.0,312,2026-03-06,0.9094583670169766,0.263957517352976,0.05
272.14,250.0,0.021917808219178082,0.366217275390625,put,0.5700000000000001,0.56,0.58,726.0,1340,2026-03-06,0.9186448151686633,0.33995178575674956,0.05
272.14,252.5,0.021917808219178082,0.352545537109375,put,0.71,0.7,0.72,189.0,390,2026-03-06,0.9278312633203498,0.44243527682395367,0.05
272.14,255.0,0.021917808219178082,0.34009448974609374,put,0.87,0.83,0.91,384.0,1012,2026-03-06,0.9370177114720365,0.5859317625299276,0.05
272.14,257.5,0.021917808219178082,0.3283758569335937,put,1.115,1.07,1.16,338.0,427,2026-03-06,0.9462041596237232,0.7826985148198986,0.05
